PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
306530435,23035798,6,2023-03-10T11:30:00,"600 Block Penn Ave Pittsburgh, PA 15222",N,Central Business District,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,201,6,6,-80.00179283,40.44259292
307051774,23038735,10,2023-03-16T09:35:00,"800 Block Reunion Pl Pittsburgh, PA 15219",N,Bedford Dwellings,2,TERRORISTIC THREATS,2706 Terroristic Threats. / 2709(a) Harassment.,509,,,,
307082554,23038816,27,2023-03-16T12:45:00,"N Braddock Ave & Alsace Way Pittsburgh, PA 15208",N,Homewood South,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1303,9,2,-79.89141477,40.45238398
307106971,23038916,99,2023-03-16T12:00:00,"1400 Block Locust St Pittsburgh, PA 15219",N,Bluff,2,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),103,6,3,-79.9854587,40.43604397
307112015,23038967,6,2023-03-16T17:54:00,"900 Block Liberty Ave Pittsburgh, PA 15222",N,North Oakland,2,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise",403,6,6,-79.99793948,40.44294531
-3545212913,23039221,14,2023-03-17T05:05:00,"2100 Block Salisbury St Pittsburgh, PA 15210",N,South Side Slopes,3,CRIM MISCHIEF,3304 Criminal Mischief.,1608,3,3,-79.97696692,40.41921016
307139199,23038824,99,2023-03-16T12:57:00,"1900 Block Wightman St Pittsburgh, PA 15217",N,Squirrel Hill South,4,NON-VIOLENT DOMESTIC,9012 Non-Violent Domestic,1413,5,3,-79.92812473,40.43556695
306215586,23034218,11,2023-03-07T11:31:00,"1100 Block Muldowney Ave Pittsburgh, PA 15207",N,Lincoln Place,4,IDENTITY THEFT,4120 Identity Theft,3102,5,3,-79.91734898,40.3685662
306241325,23034368,99,2023-03-07T16:40:00,"6000 Block Harvard St Pittsburgh, PA 15206",N,East Liberty,5,AIDED CASE,9497 Aided Case,1115,,,,
306244444,23034430,6,2023-03-05T10:27:00,"100 Block Lodi Way Pittsburgh, PA 15201",N,Lower Lawrenceville,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,603,5,3,-79.90642558,40.41990209
306254007,23034485,27,2023-03-07T19:36:00,"Brighton Rd & Woodland Ave Pittsburgh, PA 15212",N,Perry South,1,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,2615,6,1,-80.02561657,40.46995114
306255218,23034115,0,2023-03-07T07:45:00,"Highland Park Brg Pittsburgh, PA 15215",Y,Lincoln-Lemington-Belmar,5,99,9999 9999 - (Misc. Incident): ,1201,,,-79.9128971,40.48739951
306255676,23034521,99,2023-03-07T21:05:00,"1500 Block Brighton Pl Pittsburgh, PA 15212",N,California-Kirkbride,1,AIDED CASE,9497 Aided Case,2507,6,1,-80.01656851,40.45687441
307522371,23042007,0,2023-03-22T11:21:00,"Beacon St & Hobart Rd Pittsburgh, PA 15217",Y,Squirrel Hill South,4,99,3323 Stop Signs and Yield Signs. / 1543 Driving While Operating Privilege is Suspended or Revoked.,1413,5,3,-79.93494922,40.43213348
